Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,91.669998,93.820000,89.879997,92.809998,13.459841,25685500
2017-06-01,92.930000,96.750000,90.699997,91.110001,13.213300,30303100
2017-07-01,91.599998,93.769997,88.660004,91.160004,13.304980,23425200
2017-08-01,91.370003,92.860001,89.400002,91.050003,13.288926,20036600
2017-09-01,91.239998,92.690002,87.279999,88.470001,12.912368,23282800
2017-10-01,88.510002,91.500000,81.699997,85.660004,12.581354,30026300
2017-11-01,86.019997,90.349998,84.070000,90.190002,13.246700,22777700
2017-12-01,90.370003,97.839996,88.839996,97.059998,14.255735,25746100
2018-01-01,97.370003,126.650002,94.610001,119.349998,17.638237,55726500
2018-02-01,119.099998,120.580002,114.449997,116.250000,17.180103,54620700
2018-03-01,116.000000,118.970001,115.000000,118.379997,17.494883,42108400
2018-04-01,118.470001,121.269997,117.680000,119.959999,17.815689,26118500
2018-05-01,119.650002,121.000000,117.510002,119.300003,17.717669,21152100
2018-06-01,119.940002,124.110001,118.820000,122.000000,18.118658,84000200
2018-07-01,121.320000,124.360001,20.459999,24.010000,3.565810,164693600
2018-08-01,24.070000,24.389999,22.740000,22.799999,21.030943,51366300
2018-09-01,22.790001,24.469999,22.510000,23.170000,21.372236,48412500
2018-10-01,23.290001,26.600000,22.190001,26.000000,23.982660,66954300
2018-11-01,26.150000,28.809999,25.650000,27.000000,25.069784,73963900
2018-12-01,26.750000,27.059999,24.520000,25.639999,23.807009,74471200
2019-01-01,25.280001,27.330000,24.860001,27.219999,25.274055,54260200
2019-02-01,27.320000,28.500000,25.049999,25.150000,23.491428,44893500
2019-03-01,25.500000,28.250000,25.129999,27.969999,26.125456,55721400
2019-04-01,27.980000,29.129999,26.090000,29.070000,27.152910,52427900
2019-05-01,29.049999,29.760000,27.870001,28.190001,26.474831,48750600
2019-06-01,28.280001,31.059999,27.920000,28.900000,27.141630,63265900
2019-07-01,29.120001,30.270000,27.400000,28.139999,26.427874,51145600
2019-08-01,28.190001,29.590000,26.549999,27.280001,25.749985,50904200
2019-09-01,27.110001,28.530001,25.940001,27.320000,25.787746,55778700
2019-10-01,27.320000,28.200001,26.610001,28.160000,26.580633,51596400
2019-11-01,28.250000,32.000000,27.730000,30.940001,29.368418,41446500
2019-12-01,30.870001,30.870001,28.430000,28.950001,27.479500,41027500
2020-01-01,28.889999,29.030001,27.080000,28.530001,27.080833,73497400
2020-02-01,28.480000,29.549999,26.770000,27.879999,26.601681,43662600
2020-03-01,27.900000,28.510000,18.980000,24.270000,23.157204,151854900
2020-04-01,23.700001,28.000000,23.290001,26.459999,25.246792,63752500
2020-05-01,26.250000,28.450001,25.549999,27.920000,26.809816,115763700
2020-06-01,28.180000,29.580000,27.639999,28.400000,27.270733,97454300
2020-07-01,28.360001,31.469999,28.320000,30.590000,29.373648,49810100
2020-08-01,30.010000,30.540001,28.350000,29.830000,28.795959,106909200
2020-09-01,29.920000,30.559999,27.000000,27.600000,26.643263,94635600
2020-10-01,27.590000,30.320000,26.670000,26.900000,25.967527,163733200
2020-11-01,27.299999,30.840000,26.719999,30.450001,29.555096,145715300
2020-12-01,30.620001,32.240002,29.889999,32.000000,31.059544,89448900
2021-01-01,32.070000,33.689999,30.809999,31.799999,30.865419,94035300
2021-02-01,32.000000,32.830002,30.280001,30.520000,29.763609,78642100
2021-03-01,30.780001,35.570000,30.450001,34.369999,33.518188,161710700
2021-04-01,34.400002,36.450001,34.230000,35.849998,35.112385,104198500
2021-05-01,35.970001,37.110001,35.250000,36.959999,36.199543,75719000
2021-06-01,37.000000,37.099998,33.959999,35.240002,34.514935,143604600
2021-07-01,35.180000,36.250000,34.630001,35.209999,34.670513,102472700
2021-08-01,34.299999,35.750000,33.959999,35.669998,35.123466,97570900
2021-09-01,35.759998,35.970001,33.740002,34.160000,33.636600,129969400
2021-10-01,35.080002,36.529999,32.439999,36.090000,35.730949,136581200
2021-11-01,35.939999,36.580002,33.790001,33.990002,33.651844,96703200
2021-12-01,34.380001,36.980000,33.540001,36.860001,36.493290,122127100
2022-01-01,36.639999,39.349998,36.250000,37.950001,37.572445,141257300
2022-02-01,37.990002,39.130001,35.919998,38.669998,38.479435,124778000
2022-03-01,38.380001,39.250000,36.509998,37.900002,37.713234,132332800
2022-04-01,37.959999,38.369999,36.580002,37.299999,37.299999,98980800
