Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,53.700001,55.400002,51.220001,54.419998,46.545967,29663400
2017-06-01,54.400002,58.619999,53.970001,56.660000,48.822247,29683300
2017-07-01,57.099998,60.360001,56.369999,57.419998,49.477108,22386000
2017-08-01,57.549999,59.730000,54.049999,56.910000,49.037670,28855500
2017-09-01,57.209999,59.020000,54.669998,56.730000,49.230724,30609900
2017-10-01,56.959999,61.500000,56.759998,61.330002,53.222649,33172300
2017-11-01,61.330002,62.610001,58.139999,62.410000,54.159885,29753400
2017-12-01,62.270000,64.870003,60.540001,63.209999,55.254513,31978000
2018-01-01,63.650002,71.550003,63.410000,66.629997,58.244087,45018700
2018-02-01,65.180000,67.779999,60.165001,65.760002,57.483578,36943800
2018-03-01,65.540001,67.959999,60.980000,64.169998,56.471336,32398900
2018-04-01,64.019997,67.010002,58.959999,59.160000,52.062405,29529200
2018-05-01,59.049999,62.799999,57.630001,58.880001,51.815994,38599100
2018-06-01,59.520000,62.049999,56.570000,57.020000,50.550339,34121000
2018-07-01,56.570000,58.509998,56.009998,57.980000,51.401405,30298100
2018-08-01,57.980000,58.220001,52.779999,55.080002,48.830460,43242000
2018-09-01,55.250000,57.230000,52.970001,53.439999,47.742012,28582600
2018-10-01,53.549999,54.320000,39.209999,42.970001,38.388359,66601000
2018-11-01,43.490002,47.520000,43.110001,47.110001,42.086937,46856800
2018-12-01,47.980000,48.549999,35.200001,37.759998,34.065063,50321700
2019-01-01,37.349998,43.005001,37.230000,40.709999,36.726395,60292200
2019-02-01,40.610001,40.610001,37.040001,37.380001,33.722252,53946500
2019-03-01,37.700001,40.080002,35.959999,38.349998,35.004250,60868300
2019-04-01,38.520000,40.099998,35.209999,38.380001,35.031631,57104500
2019-05-01,38.540001,39.494999,32.009998,32.599998,29.755898,42015400
2019-06-01,32.520000,37.250000,32.310001,36.470001,33.690403,43683300
2019-07-01,37.349998,38.639999,34.865002,36.049999,33.302414,44291600
2019-08-01,36.320000,38.520000,31.940001,34.180000,31.574928,49073000
2019-09-01,33.779999,39.685001,32.889999,36.450001,34.118137,48527900
2019-10-01,36.750000,38.500000,32.840000,37.369999,34.979282,46784800
2019-11-01,37.750000,41.080002,37.509998,40.330002,37.749916,60319500
2019-12-01,40.590000,43.360001,39.160000,42.910000,40.637745,40532200
2020-01-01,44.279999,44.389999,38.549999,39.000000,36.934795,57115400
2020-02-01,39.259998,42.770000,31.340000,33.250000,31.489281,51076300
2020-03-01,33.470001,34.849998,21.500000,28.260000,27.063581,87161800
2020-04-01,26.969999,34.570000,25.459999,32.189999,30.827200,55735800
2020-05-01,31.580000,31.660000,23.219999,28.059999,26.872047,74149400
2020-06-01,28.049999,33.715000,25.440001,28.260000,27.289017,60224700
2020-07-01,28.280001,31.245001,26.049999,26.860001,25.937119,53578400
2020-08-01,27.030001,32.049999,26.910000,30.330000,29.287891,46664100
2020-09-01,30.379999,39.240002,30.040001,34.740002,33.769272,73206700
2020-10-01,35.000000,42.040001,33.180000,37.549999,36.500751,59236100
2020-11-01,38.250000,45.580002,37.049999,42.209999,41.030537,47573100
2020-12-01,43.020000,45.580002,42.320000,43.529999,42.519962,35226300
2021-01-01,43.590000,47.770000,40.042000,41.430000,40.468685,38515500
2021-02-01,42.240002,45.650002,40.166000,43.590000,42.578568,38472600
2021-03-01,44.360001,54.424999,44.200001,52.049999,51.075756,66020900
2021-04-01,52.070000,56.389999,51.529999,55.750000,54.706505,36823300
2021-05-01,56.299999,62.029999,54.369999,58.320000,57.228401,40582100
2021-06-01,59.099998,59.770000,51.410000,53.220001,52.427429,34261700
2021-07-01,53.680000,53.910000,47.382000,49.209999,48.477146,31431900
2021-08-01,49.389999,52.456001,47.630001,52.040001,51.265003,34543700
2021-09-01,52.259998,53.110001,47.880001,49.830002,49.314911,29119400
2021-10-01,49.939999,52.000000,46.439999,48.099998,47.602787,37462900
2021-11-01,46.540001,49.988998,43.310001,43.389999,42.941479,40021500
2021-12-01,44.520000,46.660000,41.848999,44.360001,44.126034,44348600
2022-01-01,44.639999,47.660000,42.279999,46.160000,45.916542,45857200
2022-02-01,46.230000,48.000000,43.220001,45.270000,45.031235,47737900
2022-03-01,45.000000,48.540001,40.779999,47.029999,47.029999,68329900
2022-04-01,47.599998,52.759998,45.560001,49.740002,49.740002,31424500
